α,θ,L Enc,R Enc,L_u,R_u,X,Y,θ,error,L_P,R_P,L_I,R_I,L_D,R_D
3.068165,2.142415,10,8,1.000000,-0.897282,-2.285484,0.000000,-7.380432,0.049567,0.892197,0.892197,0.000000,0.000000,0.473828,0.473828
-3.138718,2.124777,-14,-11,-0.251441,0.225613,-2.266106,0.000000,-7.389415,-0.026736,-0.481245,-0.481245,-0.000000,-0.000000,0.229805,0.229805
3.048503,2.204808,40,27,1.000000,-0.897282,-2.233894,0.000000,-7.403532,0.069229,1.246120,1.246120,0.000000,0.000000,-0.015349,-0.015349
3.128913,2.469090,46,28,-0.458668,0.411554,-2.126094,0.000000,-7.619131,-0.011182,-0.201269,-0.201269,-0.000000,-0.000000,-0.257399,-0.257399
3.141444,2.543975,-11,-16,-0.270798,0.242982,-2.118394,0.000000,-7.739764,-0.023712,-0.426819,-0.426819,-0.000000,-0.000000,0.156021,0.156021
3.068475,2.529168,15,18,1.000000,-0.897282,-2.133794,0.000000,-7.770564,0.049257,0.886618,0.886618,0.000000,0.000000,0.236042,0.236042
3.013048,2.606090,58,64,1.000000,-0.897282,-2.012391,0.000000,-7.690998,0.104684,1.884314,1.884314,0.000000,0.000000,0.111723,0.111723
3.008153,2.810766,66,70,1.000000,-0.897282,-1.848253,0.000000,-7.628114,0.109579,1.972419,1.985496,0.000000,0.000000,0.021794,0.021794
2.982556,3.083528,66,69,1.000000,-0.897282,-1.659860,0.000000,-7.579349,0.135176,2.433171,2.433171,0.000000,0.000000,0.118389,0.118389
2.944754,-2.881938,66,69,1.000000,-0.897282,-1.486226,0.000000,-7.536999,0.172978,3.113598,3.113598,0.000000,0.000000,0.096116,0.096116
2.937778,-2.551447,65,69,1.000000,-0.897282,-1.312591,0.000000,-7.494649,0.179954,3.239169,3.239169,0.000000,0.000000,-0.051498,-0.051498
3.002381,-2.269198,64,67,1.000000,-0.897282,-1.138957,0.000000,-7.454866,0.115350,2.076309,2.076309,0.000000,0.000000,-0.294292,-0.294292
3.095703,-2.047219,65,67,0.181190,-0.162579,-0.966221,0.000000,-7.413800,0.022029,0.396525,0.396525,0.000000,0.000000,-0.215335,-0.215335
